shocked_class,metric,baseline,value_up,value_down,elasticity,cross_modal
passenger,passenger_search_time_min,2.2071001286885785,2.8904561767315045,1.3515055482252323,1.7431817076426552,False
passenger,passenger_abandonment_rate,0.039610514206418077,0.09791093408769642,0.008499841383013731,5.643141379000039,False
passenger,delivery_delay_min,2.329790417405391,2.3930456973982057,2.3108634299177186,0.08818633091041155,True
passenger,delivery_illegal_rate,0.035634355520977976,0.03913037712907535,0.03829852397523958,0.05836033384594667,True
passenger,ridehail_wait_min,1.9913479858969587,2.148061840162031,1.8237287487505793,0.4071778183778397,True
passenger,illegal_parking_rate,0.07654784415446829,0.09581158817604125,0.0514266245612552,1.4495824181939156,True
passenger,vmt_miles,3475.234008390996,4192.843792253241,2724.957498210451,1.0559621959978525,True
passenger,system_social_cost_usd,13766.671941039094,18087.522536059616,9383.03056683885,1.580718274994312,True
delivery,passenger_search_time_min,2.2071001286885785,2.240842844904704,2.218653301061437,0.025134274103427258,True
delivery,passenger_abandonment_rate,0.039610514206418077,0.036497674241737985,0.038996080136436205,-0.157685777674997,True
delivery,delivery_delay_min,2.329790417405391,2.535788257470055,2.1995587768323057,0.3607936985724631,False
delivery,delivery_illegal_rate,0.035634355520977976,0.06838189720895259,0.012089484122132078,3.9493076459374374,False
delivery,ridehail_wait_min,1.9913479858969587,2.0347845442547055,1.9933775351982745,0.05198364292640198,True
delivery,illegal_parking_rate,0.07654784415446829,0.08205814702086729,0.07609545698917917,0.19473735993321437,True
delivery,vmt_miles,3475.234008390996,3575.6009902171318,3385.5620675256496,0.13670944333002527,True
delivery,system_social_cost_usd,13766.671941039094,14903.245385134724,13195.03122333965,0.31020826404361507,True
ridehail,passenger_search_time_min,2.2071001286885785,2.2078052913656023,2.2455281922918067,-0.04272903213120041,True
ridehail,passenger_abandonment_rate,0.039610514206418077,0.03645709423011574,0.03794019429516994,-0.09360520147033921,True
ridehail,delivery_delay_min,2.329790417405391,2.3504414245612453,2.338027580780834,0.01332077307004744,True
ridehail,delivery_illegal_rate,0.035634355520977976,0.039992244880004746,0.03502617387352751,0.34840471602985124,True
ridehail,ridehail_wait_min,1.9913479858969587,2.039442343361697,1.975925811625982,0.0797406231677603,False
ridehail,illegal_parking_rate,0.07654784415446829,0.09189754113710172,0.06559330345375622,0.859078331137104,True
ridehail,vmt_miles,3475.234008390996,3575.487900660145,3341.5863855086295,0.1682631404005869,True
ridehail,system_social_cost_usd,13766.671941039094,15932.761521355238,12094.508312999245,0.6970190807180455,True
