,mean,sd,n,ci_low,ci_high,ci_halfwidth
wall_time_s,2.286777479566687,0.14813931397645483,30,2.233766506873434,2.33978845225994,0.05301097269325317
total_stalls,980.0,0.0,30,980.0,980.0,0.0
fleet_size,82.0,0.0,30,82.0,82.0,0.0
n_trips,6020.233333333334,71.54727558529508,30,5994.630469579479,6045.836197087188,25.602863753855107
capacity_passenger,804.0,0.0,30,804.0,804.0,0.0
capacity_share_passenger,0.820408163265306,1.1292025708167404e-16,30,0.820408163265306,0.820408163265306,4.0407995041904695e-17
capacity_delivery,127.0,0.0,30,127.0,127.0,0.0
capacity_share_delivery,0.1295918367346939,2.823006427041851e-17,30,0.1295918367346939,0.1295918367346939,1.0101998760476174e-17
capacity_ridehail,49.0,0.0,30,49.0,49.0,0.0
capacity_share_ridehail,0.05000000000000002,1.4115032135209254e-17,30,0.05000000000000001,0.050000000000000024,5.050999380238087e-18
passenger_trips,3343.133333333333,48.920578374603735,30,3325.6273291893795,3360.639337477287,17.506004143953657
passenger_search_time_min,2.2108265531606888,0.08290893025329453,30,2.1811579734993654,2.240495132822012,0.02966857966132325
passenger_search_time_p90_min,4.400411817666994,0.12414124459999659,30,4.35598844381066,4.444835191523327,0.04442337385633389
passenger_search_distance_m,339.1804662487321,12.577616697838302,30,334.6796239171598,343.6813085803044,4.500842331572322
passenger_walk_distance_m,158.2875505888997,2.0201752530393287,30,157.56464015884686,159.01046101895255,0.7229104300528535
passenger_parking_cost_usd,2.214043297002567,0.02762280500936119,30,2.2041586031778406,2.2239279908272938,0.009884693824726632
passenger_failed_attempts,2.7515955007040884,0.11277797906817802,30,2.7112384191954373,2.7919525822127396,0.040357081508651214
passenger_illegal_rate,0.04305838978428522,0.0037273860859229264,30,0.04172456180362185,0.044392217764948595,0.0013338279806633722
passenger_diverted_rate,0.21991049423781847,0.012207481467974433,30,0.21554210309719904,0.2242788853784379,0.004368391140619439
passenger_abandonment_rate,0.037448113751457845,0.0056040018013695375,30,0.03544274746150352,0.03945348004141217,0.002005366289954325
passenger_parked_rate,0.6995830022264385,0.017437240737464825,30,0.6933431657659677,0.7058228386869094,0.006239836460470901
delivery_trips,796.8666666666667,26.68298351375652,30,787.318283644945,806.4150496883883,9.54838302172163
delivery_search_time_min,0.7976685439341767,0.05327227815403761,30,0.7786053040235348,0.8167317838448187,0.019063239910641964
delivery_delay_min,2.341915203994107,0.042730295445694746,30,2.3266243641471887,2.3572060438410256,0.01529083984691862
delivery_delay_p90_min,3.318402232815614,0.18325031023089255,30,3.252826951474538,3.3839775141566903,0.06557528134107599
delivery_illegal_rate,0.03781554257804303,0.00863755985134613,30,0.03472463148141931,0.04090645367466675,0.00309091109662372
delivery_walk_distance_m,125.08397946485442,1.1228827806749975,30,124.68216102229334,125.4857979074155,0.4018184425610838
ridehail_trips,1880.2333333333333,39.68556007115081,30,1866.0320380473122,1894.4346286193545,14.201295286021141
ridehail_wait_min,1.993517017722493,0.035204810544517726,30,1.9809191380621134,2.0061148973828726,0.012597879660379684
ridehail_wait_p90_min,3.145966028200514,0.08843105998006427,30,3.1143213797948675,3.1776106766061605,0.031644648405646715
ridehail_pickup_distance_m,43.064081371141434,3.5080943953028907,30,41.80872591415374,44.31943682812913,1.2553554569876946
ridehail_circling_time_min,0.07687176184953917,0.012413044206814342,30,0.07242981102754356,0.08131371267153478,0.0044419508219956105
ridehail_curb_dwell_min,0.0,0.0,30,0.0,0.0,0.0
ridehail_illegal_rate,0.026398564026513006,0.004781330076162054,30,0.024687587032619664,0.02810954102040635,0.0017109769938933425
ridehail_dropoff_illegal_events,240.46666666666667,17.6278254440262,30,234.158630344835,246.77470298849835,6.3080363218316915
ridehail_circling_loops,91.8,14.716633798013309,30,86.53372022954632,97.06627977045368,5.2662797704536795
curb_occupancy,0.7580165398660296,0.00803049004643315,30,0.7551428659091448,0.7608902138229143,0.002873673956884735
curb_occupancy_passenger,0.8454504687447119,0.009973651838042177,30,0.8418814432710114,0.8490194942184123,0.003569025473700394
curb_occupancy_delivery,0.38243612405592153,0.008990990348268928,30,0.3792187394802569,0.38565350863158615,0.003217384575664639
curb_occupancy_ridehail,0.26116895737886997,0.00909071217617452,30,0.2579158878053872,0.26442202695235273,0.0032530695734827395
mean_price_usd_per_hour,2.7999999999999994,9.033620566533923e-16,30,2.799999999999999,2.8,3.2326396033523756e-16
curb_saturated_share,0.24081632653061222,0.11599208685590165,30,0.19930909132140268,0.28232356173982176,0.04150723520920953
curb_turnover_per_stall_per_hour,1.446658163265306,0.014726497276227693,30,1.4413883538945034,1.4519279726361085,0.005269809370802485
loading_zone_utilisation,0.38243612405592153,0.008990990348268928,30,0.3792187394802569,0.38565350863158615,0.003217384575664639
vmt_miles,3466.426485988494,64.62096310551534,30,3443.3021713238354,3489.5508006531522,23.124314664658566
vmt_miles_passenger,2457.9853654656804,63.69394647078839,30,2435.19277944341,2480.7779514879508,22.792586022270548
vmt_miles_delivery,399.75273569023574,14.119984846043565,30,394.6999640051871,404.8055073752844,5.052771685048658
