x_passenger,x_delivery,x_ridehail,objective,stderr,n_seeds,c_passenger_search_cost,c_delivery_delay_cost,c_ridehail_wait_cost,c_illegal_parking_cost,c_vmt_cost,passenger_search_time_min,delivery_delay_min,ridehail_wait_min,illegal_parking_rate,vmt_miles,revenue_usd,curb_occupancy_passenger,passenger_abandonment_rate,system_social_cost_usd,pareto_efficient
0.5477070169015223,0.14832690822274178,0.30396607487573596,12054.033722990062,199.27878586697534,5,3309.6884489242925,1178.7624282705044,1352.9846900249627,3925.6,2286.9981557703013,3.308655884722171,2.1327308392407502,1.672088948752696,0.04678680284883878,3688.7067028553247,8274.532303749675,0.974476494508418,0.21477509237887857,12054.033722990062,True
0.3470425443544129,0.45,0.20295745564558712,13325.806085630222,121.16528925869405,5,3831.2599946185974,1025.6508630771682,1389.1778275526854,4690.0,2389.71740038177,3.838871063201985,1.8561217552383007,1.713148536283457,0.05596001219729524,3854.3829038415656,6576.981613700247,0.9862785114045618,0.4462703404715951,13325.806085630222,True
0.3,0.38467221293514037,0.3153277870648596,14086.91163099837,53.67704349033868,5,4014.8473117794374,1058.776691567142,1361.0372836606984,5230.4,2421.850343991092,4.014386547088572,1.8577135552021509,1.7111878167054684,0.062460820622611955,3906.2102322436963,6323.469093005636,0.987352492017215,0.49838318945767296,14086.91163099837,False
0.8410171089880252,0.06298532956701941,0.09599756144495539,11212.247193985422,203.85209984450367,5,2052.941129841659,1620.863982393826,1417.8993632261165,4043.2,2077.3427185238206,2.077214028031516,2.8262207498778147,1.715143626828527,0.047949251807119946,3350.552771812614,11468.757755623548,0.8333861700019813,0.03153950531248949,11212.247193985422,True
0.3426094021041763,0.37905448019265753,0.2783361177031662,13686.51213875943,206.99674646497897,5,3837.812347895694,1044.5148463205803,1397.4084353568019,5017.6,2389.1765091863517,3.851670931603915,1.8725664734788663,1.7328246641065306,0.059931698431041756,3853.510498687664,6665.03710608608,0.9862244897959185,0.4438709520584335,13686.512138759426,False
0.7156037679714157,0.05,0.23439623202858423,11682.135864289372,81.1530844891991,5,2589.8528087449804,1509.873556513056,1358.9456568695616,4054.4,2169.063842161775,2.6175694870424557,2.727210916528602,1.676108165237908,0.04859818982896459,3498.490068002863,10958.81090162579,0.9210864945122129,0.07601606991359296,11682.135864289372,True
0.7086609617187212,0.0674366334614564,0.22390240481982238,12661.961394244463,168.58584091085982,5,2729.372297926456,1604.9926429751536,1333.1903112128925,4793.6,2200.8061421299612,2.704554025536791,2.8592243506120525,1.6644641139086467,0.05692594581095274,3549.687326016066,11797.41513383707,0.9235295844956688,0.08297244024721365,12661.961394244461,True
0.41346626772501044,0.18653373227498965,0.4,13368.1873183563,195.26484460756376,5,3803.698866558943,1157.186966897599,1357.7823198238013,4664.8,2384.7191650759564,3.7452557466151495,2.058893573977811,1.7176016492195814,0.05541640486467414,3846.3212339934785,7649.17327718093,0.9848727639203829,0.37760444352202355,13368.1873183563,False
0.3766625327403294,0.2233374672596706,0.4000000000000001,13564.23695612101,188.2641925921808,5,3804.716753816673,1069.9581554433869,1410.4074367837986,4897.2,2381.9546100771495,3.786421702593521,1.945817604647581,1.7247675149758925,0.05809195700164753,3841.8622743179826,7137.1467721101235,0.9857198163818373,0.410712227516331,13564.23695612101,False
0.44473684210526315,0.15526315789473683,0.4,12924.305704169281,189.20372302058826,5,3604.0891598204967,1196.9757409280762,1380.7099456302053,4393.2,2349.3308577905036,3.608909523068717,2.1478271402116293,1.7018895004120824,0.052330278740184324,3789.243319016941,7475.063105794053,0.9836173001310616,0.330618843619852,12924.305704169283,False
