level,passenger,delivery,ridehail,passenger_search_time_min,passenger_search_time_min_ci,passenger_abandonment_rate,passenger_abandonment_rate_ci,delivery_delay_min,delivery_delay_min_ci,delivery_illegal_rate,delivery_illegal_rate_ci,ridehail_wait_min,ridehail_wait_min_ci,illegal_parking_rate,illegal_parking_rate_ci,vmt_miles,vmt_miles_ci,system_social_cost_usd,system_social_cost_usd_ci,curb_occupancy_passenger,curb_occupancy_passenger_ci,curb_saturated_share,curb_saturated_share_ci
low,0.6,0.6,0.6,0.6289188123738066,0.03635025517845168,0.0002914334881540633,0.0002833779586390639,2.029097158711383,0.01597762795040367,0.002005572236050451,0.001139840981661249,1.6938918472311584,0.011954335361145946,0.007827209255933122,0.001419363060215093,1748.2837727670405,35.93256804849661,3391.446336490212,137.74551805826982,0.5539267945984364,0.01071355361037504,0.0,0.0
normal,1.0,1.0,1.0,2.2071001286885785,0.04766783681437523,0.039610514206418077,0.00348300624938048,2.329790417405391,0.022891228762968174,0.035634355520977976,0.003716150288813518,1.9913479858969587,0.019030940708037722,0.07654784415446829,0.002987397086360749,3475.234008390996,40.002302799263646,13766.671941039094,365.6133701783772,0.8447735810742207,0.0061778236219747415,0.24693877551020407,0.0588633068123843
peak,1.3,1.2,1.4,3.167423804111722,0.06192386765266133,0.14022464801538267,0.008898187982667855,2.639046731709905,0.02399977871727005,0.08514198389604126,0.00561491772424148,2.330107716528076,0.036475756267991905,0.13550737372415406,0.0031858023873461033,4944.2350423526605,50.66984538407515,26637.168724899937,447.5751056461584,0.9532972890648796,0.004062412043991711,0.9081632653061226,0.03540244812627135
extreme,1.6,1.4,1.9,3.974437081884384,0.08030021965983834,0.2565913103840061,0.005698988159317081,2.978638079551562,0.06341379247568527,0.1506809450350812,0.009684305038293713,2.8593236171614924,0.1213556923938969,0.2018370213711606,0.00405136555373759,6533.611831901694,49.8115456778363,45564.139226511994,917.8645493381049,0.9818509493349576,0.0009686953145280501,1.0,0.0
